epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6026.89,1.25711,2.43641,1.20395,0.19233,0.08973,0.06423,0.04257,0.91511,1.88422,1.02798,0.00333105,0.00333105,0.00333105
2,10058.9,1.20992,1.66683,1.17446,0.32018,0.11569,0.09239,0.05984,0.99883,1.54454,1.09094,0.0065984,0.0065984,0.0065984
3,12032.4,1.2299,1.50501,1.19133,0.29618,0.23469,0.18824,0.12281,0.9648,1.39394,1.08037,0.00979976,0.00979976,0.00979976
4,14085.5,1.20469,1.343,1.18482,0.35116,0.37176,0.31819,0.21002,0.89898,1.08996,1.0335,0.009703,0.009703,0.009703
5,15934.2,1.1301,1.19938,1.14675,0.43182,0.32355,0.32899,0.21921,0.89015,1.03478,1.0538,0.009604,0.009604,0.009604
6,17634.8,1.09276,1.13367,1.12982,0.39793,0.37916,0.36035,0.24051,0.87115,0.98452,1.04049,0.009505,0.009505,0.009505
7,19227,1.07013,1.09063,1.11297,0.43952,0.41938,0.4098,0.27486,0.86422,0.92834,1.04954,0.009406,0.009406,0.009406
8,20747.4,1.05063,1.05515,1.10464,0.44975,0.49709,0.43039,0.29075,0.82744,0.94751,1.01949,0.009307,0.009307,0.009307
9,22160.8,1.03347,1.02735,1.09228,0.48643,0.43573,0.41828,0.2886,0.81494,0.87919,1.00629,0.009208,0.009208,0.009208
10,23465.6,1.01972,1.00915,1.08603,0.43907,0.47362,0.43948,0.30602,0.79681,0.89133,0.99274,0.009109,0.009109,0.009109
11,24771.9,1.0041,0.99153,1.07959,0.55048,0.44849,0.43289,0.30449,0.78718,0.84925,0.98647,0.00901,0.00901,0.00901
12,26049.3,0.99961,0.97741,1.07478,0.52614,0.49074,0.46984,0.32887,0.79194,0.86276,1.0005,0.008911,0.008911,0.008911
13,27310.7,0.99335,0.96936,1.07282,0.49416,0.4782,0.458,0.32334,0.77156,0.84254,0.9812,0.008812,0.008812,0.008812
14,28575.6,0.98509,0.95551,1.06781,0.51952,0.48704,0.46011,0.3221,0.77445,0.82256,0.98251,0.008713,0.008713,0.008713
15,2070.29,0.9748,0.94299,1.06197,0.46994,0.32155,0.293,0.21747,0.752,0.83256,0.96734,0.008614,0.008614,0.008614
16,3767.69,0.96741,0.92932,1.05769,0.5258,0.3718,0.35631,0.26258,0.7458,0.80417,0.97025,0.008515,0.008515,0.008515
17,5274.15,0.963,0.92498,1.05669,0.53798,0.40796,0.38996,0.28299,0.75622,0.81209,0.97513,0.008416,0.008416,0.008416
18,6685.23,0.95801,0.91807,1.05453,0.5344,0.4334,0.40541,0.29377,0.75973,0.81672,0.9826,0.008317,0.008317,0.008317
19,8060.03,0.95773,0.90774,1.0524,0.54935,0.4331,0.43747,0.32232,0.74671,0.79627,0.97406,0.008218,0.008218,0.008218
20,9414.58,0.94925,0.89894,1.04571,0.54961,0.47056,0.46343,0.33972,0.74237,0.7876,0.96551,0.008119,0.008119,0.008119
21,10735,0.94037,0.89465,1.04492,0.57162,0.44682,0.44655,0.32712,0.73622,0.78618,0.9562,0.00802,0.00802,0.00802
22,12076.8,0.9391,0.8897,1.04475,0.56667,0.45526,0.45735,0.33873,0.74937,0.78802,0.97919,0.007921,0.007921,0.007921
23,13366.6,0.93272,0.88362,1.0387,0.57239,0.46107,0.46979,0.34695,0.75211,0.78262,0.98664,0.007822,0.007822,0.007822
24,14651.7,0.9327,0.87773,1.0385,0.53457,0.48619,0.46433,0.34463,0.73181,0.75866,0.96409,0.007723,0.007723,0.007723
25,16047.3,0.9277,0.87379,1.03897,0.54739,0.47687,0.46907,0.34989,0.74212,0.76588,0.97673,0.007624,0.007624,0.007624
26,17398.6,0.93077,0.87756,1.0381,0.58151,0.4671,0.46843,0.35109,0.7226,0.74622,0.95279,0.007525,0.007525,0.007525
27,18705.6,0.92801,0.87338,1.03739,0.58248,0.46546,0.46494,0.34845,0.72382,0.75442,0.95836,0.007426,0.007426,0.007426
